ref start end
bar08_11-chrom02-polish 652292 655033
bar08_11-chrom02-polish 655058 655682
bar08_11-chrom01-1 656037 657416
bar08_11-chrom01-1 657625 659023
bar08_11-chrom01-1 659335 660625
bar08_11-chrom01-1 660942 661452
bar08_11-chrom01-1 661456 663058
bar08_11-chrom02-polish 663211 665022
bar08_11-chrom01-1 665034 666639
bar08_11-chrom02-polish 666682 668038
bar08_11-chrom01-1 670253 671759
bar08_11-chrom01-1 673637 674144
bar08_11-chrom01-1 674431 675763
bar08_11-chrom01-1 675818 676889
bar08_11-chrom01-1 676896 678512
bar08_11-chrom02-polish 678909 679950
bar08_11-chrom01-1 679966 681134
bar08_11-chrom01-1 681235 681742
bar08_11-chrom01-1 682229 683432
bar08_11-chrom01-1 683655 684321
bar08_11-chrom02-polish 684357 686331
bar08_11-chrom02-polish 686333 687311
bar08_11-chrom02-polish 690050 690587
bar08_11-chrom01-1 691523 694552
bar08_11-chrom01-1 695003 695747
bar08_11-chrom01-1 695957 696782
bar08_11-chrom01-1 696890 697487
bar08_11-chrom01-1 697874 698240
bar08_11-chrom01-1 698249 698522
bar08_11-chrom01-1 698950 700942
bar08_11-chrom01-1 701082 703348
bar08_11-chrom01-1 703638 703857
bar08_11-chrom01-1 706370 706556
bar08_11-chrom01-1 708151 708841
bar08_11-chrom01-1 708968 710357
bar08_11-chrom01-1 711835 712018
bar08_11-chrom01-1 712073 712295
bar08_11-chrom01-1 712408 712612
bar08_11-chrom01-1 712709 713198
bar08_11-chrom02-polish 713214 715646
bar08_11-chrom01-1 715660 716650
bar08_11-chrom02-polish 717075 717537
bar08_11-chrom01-1 718304 720938
bar08_11-chrom01-1 721085 721370
bar08_11-chrom01-1 721503 723471
bar08_11-chrom01-1 725095 727569
bar08_11-chrom01-1 727595 728324
bar08_11-chrom01-1 728411 729347
bar08_11-chrom01-1 729387 729591
bar08_11-chrom01-1 729691 730267
bar08_11-chrom01-1 730784 731123
bar08_11-chrom01-1 731485 732132
bar08_11-chrom01-1 737041 737473
bar08_11-chrom02-polish 737604 737784
bar08_11-chrom01-1 737809 738673
bar08_11-chrom01-1 738865 739780
bar08_11-chrom02-polish 739787 741050
bar08_11-chrom02-polish 741527 742943
bar08_11-chrom02-polish 745622 746978
bar08_11-chrom01-1 747172 748666
bar08_11-chrom01-1 750027 750372
bar08_11-chrom01-1 752465 753845
bar08_11-chrom01-1 753847 754756
bar08_11-chrom01-1 755049 756435
bar08_11-chrom01-1 758350 758788
bar08_11-chrom01-1 759130 759538
bar08_11-chrom01-1 759662 761228
bar08_11-chrom01-1 761355 762234
bar08_11-chrom01-1 762255 764345
bar08_11-chrom01-1 764626 765040
bar08_11-chrom01-1 767450 768104
bar08_11-chrom01-1 768815 771449
bar08_11-chrom01-1 771571 772252
bar08_11-chrom01-1 772264 772795
bar08_11-chrom01-1 772865 773153
bar08_11-chrom01-1 773493 775449
bar08_11-chrom01-1 775604 775832
bar08_11-chrom02-polish 775954 777130
bar08_11-chrom01-1 777133 777532
bar08_11-chrom02-polish 778465 782405
bar08_11-chrom01-1 782425 788370
bar08_11-chrom01-1 788634 789276
bar08_11-chrom01-1 790172 790796
bar08_11-chrom01-1 791856 793653
bar08_11-chrom01-1 793862 794690
bar08_11-chrom01-1 795568 796465
bar08_11-chrom01-1 796466 796754
bar08_11-chrom02-polish 797126 799191
bar08_11-chrom01-1 799395 800511
bar08_11-chrom01-1 800578 800833
bar08_11-chrom01-1 800948 805227
bar08_11-chrom01-1 806043 809681
bar08_11-chrom02-polish 809708 810734
bar08_11-chrom01-1 811638 811899
bar08_11-chrom02-polish 814100 814529
bar08_11-chrom01-1 816023 817271
bar08_11-chrom01-1 821747 822422
bar08_11-chrom01-1 829559 831515
bar08_11-chrom01-1 833481 836106
bar08_11-chrom01-1 837507 839471
bar08_11-chrom01-1 839667 841938
bar08_11-chrom01-1 842265 843537
bar08_11-chrom02-polish 843754 844501
bar08_11-chrom01-1 844894 846713
bar08_11-chrom01-1 846723 846990
bar08_11-chrom01-1 847073 847862
bar08_11-chrom01-1 848044 849336
bar08_11-chrom01-1 852819 854196
bar08_11-chrom01-1 854278 854986
bar08_11-chrom01-1 855009 858129
bar08_11-chrom01-1 858130 858421
bar08_11-chrom02-polish 858433 860021
bar08_11-chrom02-polish 863065 863785
bar08_11-chrom01-1 865648 866788
bar08_11-chrom01-1 867511 868756
bar08_11-chrom01-1 868841 870239
bar08_11-chrom01-1 870254 872096
bar08_11-chrom01-1 872103 873714
bar08_11-chrom01-1 873970 875380
bar08_11-chrom02-polish 875590 876028
bar08_11-chrom02-polish 876749 877100
bar08_11-chrom01-1 878579 879269
bar08_11-chrom01-1 880139 883666
bar08_11-chrom01-1 883869 885273
bar08_11-chrom01-1 885441 891688
bar08_11-chrom01-1 891735 892638
bar08_11-chrom01-1 892641 902607
bar08_11-chrom01-1 903209 903515
bar08_11-chrom02-polish 903626 904043
bar08_11-chrom01-1 904333 906130
bar08_11-chrom02-polish 906567 910622
bar08_11-chrom02-polish 910931 911876
bar08_11-chrom02-polish 911888 913795
bar08_11-chrom02-polish 913824 914826
bar08_11-chrom01-1 914878 915130
bar08_11-chrom01-1 916678 917776
bar08_11-chrom01-1 920119 921133
bar08_11-chrom01-1 921141 924380
bar08_11-chrom02-polish 926249 928051
bar08_11-chrom01-1 928132 930878
bar08_11-chrom01-1 931874 934163
bar08_11-chrom01-1 934315 935062
bar08_11-chrom01-1 935397 936096
bar08_11-chrom01-1 937941 938145
bar08_11-chrom01-1 939174 940035
bar08_11-chrom01-1 940052 940538
bar08_11-chrom01-1 940545 941262
bar08_11-chrom01-1 941315 942716
bar08_11-chrom01-1 942826 943009
bar08_11-chrom01-1 943036 944302
bar08_11-chrom01-1 947085 947622
bar08_11-chrom01-1 948694 949801
bar08_11-chrom01-1 950739 951759
bar08_11-chrom01-1 951970 952531
bar08_11-chrom01-1 952863 953154
bar08_11-chrom01-1 953324 953855
bar08_11-chrom02-polish 954007 954790
bar08_11-chrom02-polish 955504 956869
bar08_11-chrom02-polish 957130 957616
bar08_11-chrom01-1 957779 959266
bar08_11-chrom01-1 959670 960342
bar08_11-chrom01-1 960444 961251
bar08_11-chrom01-1 961256 961718
bar08_11-chrom01-1 961752 962436
bar08_11-chrom02-polish 962643 963189
bar08_11-chrom02-polish 964055 964238
bar08_11-chrom02-polish 965026 965857
bar08_11-chrom02-polish 966156 967401
bar08_11-chrom02-polish 967473 967812
bar08_11-chrom02-polish 967944 968562
bar08_11-chrom02-polish 968906 970754
bar08_11-chrom02-polish 970933 971608
bar08_11-chrom02-polish 972274 978344
bar08_11-chrom02-polish 978498 980322
bar08_11-chrom01-1 980425 987114
bar08_11-chrom01-1 987177 991410
bar08_11-chrom02-polish 991579 993814
bar08_11-chrom02-polish 993986 994211
bar08_11-chrom02-polish 994235 995717
bar08_11-chrom02-polish 995775 996063
bar08_11-chrom01-1 996157 996871
bar08_11-chrom02-polish 996990 999072
bar08_11-chrom02-polish 999255 1001507
bar08_11-chrom01-1 1001581 1002187
bar08_11-chrom02-polish 1002763 1006431
bar08_11-chrom02-polish 1006434 1008786
bar08_11-chrom01-1 1008944 1009247
bar08_11-chrom02-polish 1010149 1011172
bar08_11-chrom01-1 1011362 1012406
bar08_11-chrom01-1 1013049 1014725
bar08_11-chrom01-1 1014886 1016905
bar08_11-chrom01-1 1016948 1017746
bar08_11-chrom01-1 1017798 1020347
bar08_11-chrom02-polish 1020573 1021972
bar08_11-chrom02-polish 1022118 1022316
bar08_11-chrom01-1 1023460 1023742
bar08_11-chrom01-1 1024101 1025367
bar08_11-chrom01-1 1025748 1027307
bar08_11-chrom01-1 1027759 1028599
bar08_11-chrom01-1 1029187 1030656
bar08_11-chrom01-1 1030697 1031402
bar08_11-chrom01-1 1031460 1031952
bar08_11-chrom01-1 1032071 1032569
bar08_11-chrom01-1 1032785 1033481
bar08_11-chrom01-1 1033544 1034654
bar08_11-chrom01-1 1036813 1038118
bar08_11-chrom01-1 1038191 1038746
bar08_11-chrom01-1 1039042 1039651
bar08_11-chrom01-1 1039762 1040272
bar08_11-chrom01-1 1040274 1040925
bar08_11-chrom01-1 1040929 1044585
bar08_11-chrom01-1 1046509 1047229
bar08_11-chrom01-1 1047339 1049650
bar08_11-chrom01-1 1049901 1050303
bar08_11-chrom01-1 1050306 1050621
bar08_11-chrom01-1 1050998 1052488
bar08_11-chrom01-1 1052849 1055363
bar08_11-chrom01-1 1055377 1057207
bar08_11-chrom01-1 1057633 1064331
bar08_11-chrom01-1 1064512 1064836
bar08_11-chrom01-1 1065049 1066919
bar08_11-chrom01-1 1067346 1068650
bar08_11-chrom01-1 1068652 1069927
bar08_11-chrom01-1 1070599 1071993
bar08_11-chrom01-1 1072101 1072401
bar08_11-chrom01-1 1073881 1074879
bar08_11-chrom01-1 1074985 1075522
bar08_11-chrom01-1 1075650 1076524
bar08_11-chrom01-1 1076531 1076732
bar08_11-chrom02-polish 1076759 1077164
bar08_11-chrom01-1 1077602 1081739
bar08_11-chrom01-1 1083020 1084934
bar08_11-chrom01-1 1085178 1086312
bar08_11-chrom02-polish 1086432 1089387
bar08_11-chrom02-polish 1089391 1090869
bar08_11-chrom01-1 1091522 1091669
bar08_11-chrom01-1 1093151 1094029
bar08_11-chrom01-1 1094051 1094468
bar08_11-chrom01-1 1094622 1095669
bar08_11-chrom01-1 1095810 1098611
bar08_11-chrom01-1 1098627 1101460
bar08_11-chrom01-1 1102716 1102998
bar08_11-chrom01-1 1104530 1106000
bar08_11-chrom01-1 1106004 1107305
bar08_11-chrom02-polish 1107364 1108768
bar08_11-chrom01-1 1109908 1113346
bar08_11-chrom01-1 1113492 1115398
bar08_11-chrom01-1 1115406 1116108
bar08_11-chrom02-polish 1116287 1118613
bar08_11-chrom02-polish 1121238 1122612
bar08_11-chrom01-1 1122677 1124310
bar08_11-chrom01-1 1124480 1124750
bar08_11-chrom02-polish 1125033 1127401
bar08_11-chrom01-1 1127900 1129187
bar08_11-chrom01-1 1129191 1130415
bar08_11-chrom02-polish 1130580 1131789
bar08_11-chrom01-1 1131835 1133324
bar08_11-chrom01-1 1133674 1135196
bar08_11-chrom01-1 1135426 1138103
bar08_11-chrom01-1 1138262 1138442
bar08_11-chrom01-1 1139669 1140620
bar08_11-chrom01-1 1140778 1141756
bar08_11-chrom01-1 1143829 1146284
bar08_11-chrom01-1 1146321 1147104
bar08_11-chrom02-polish 1147120 1156011
bar08_11-chrom02-polish 1156075 1157869
bar08_11-chrom02-polish 1161115 1162701
bar08_11-chrom01-1 1168390 1169233
bar08_11-chrom01-1 1169868 1170252
bar08_11-chrom01-1 1170636 1172645
bar08_11-chrom01-1 1172860 1174561
bar08_11-chrom01-1 1174978 1175998
bar08_11-chrom01-1 1176104 1177004
bar08_11-chrom01-1 1178907 1179513
bar08_11-chrom01-1 1179643 1179967
bar08_11-chrom01-1 1179991 1181800
bar08_11-chrom01-1 1182081 1182486
bar08_11-chrom01-1 1183462 1184326
bar08_11-chrom01-1 1184414 1185170
bar08_11-chrom01-1 1185547 1186156
bar08_11-chrom01-1 1186200 1187166
bar08_11-chrom01-1 1190780 1191410
bar08_11-chrom01-1 1193325 1195245
bar08_11-chrom01-1 1200901 1201117
bar08_11-chrom01-1 1201186 1201696
bar08_11-chrom01-1 1202026 1202233
bar08_11-chrom01-1 1202243 1203248
bar08_11-chrom01-1 1203382 1203781
bar08_11-chrom01-1 1204097 1204493
bar08_11-chrom01-1 1206081 1207714
bar08_11-chrom01-1 1207929 1208823
bar08_11-chrom01-1 1208947 1209871
bar08_11-chrom01-1 1209943 1210642
bar08_11-chrom01-1 1210741 1211431
bar08_11-chrom01-1 1211450 1211642
bar08_11-chrom01-1 1211709 1211919
bar08_11-chrom01-1 1212084 1212273
bar08_11-chrom01-1 1213336 1213993
bar08_11-chrom01-1 1223284 1224505
bar08_11-chrom01-1 1225354 1225858
bar08_11-chrom01-1 1225891 1227127
bar08_11-chrom01-1 1227386 1227989
bar08_11-chrom01-1 1229955 1230546
bar08_11-chrom01-1 1235107 1235845
bar08_11-chrom01-1 1236518 1236920
bar08_11-chrom01-1 1237469 1238204
bar08_11-chrom01-1 1238480 1241168
bar08_11-chrom01-1 1241511 1242824
bar08_11-chrom01-1 1242878 1244445
bar08_11-chrom01-1 1244693 1246529
bar08_11-chrom01-1 1247938 1248175
bar08_11-chrom01-1 1248827 1249232
bar08_11-chrom01-1 1250093 1250912
bar08_11-chrom01-1 1251189 1252218
bar08_11-chrom01-1 1252312 1253179
bar08_11-chrom01-1 1254132 1255212
bar08_11-chrom01-1 1264290 1265595
bar08_11-chrom01-1 1266576 1267365
bar08_11-chrom01-1 1268404 1269211
bar08_11-chrom01-1 1269331 1271623
bar08_11-chrom01-1 1271827 1272520
bar08_11-chrom01-1 1272786 1273473
bar08_11-chrom01-1 1273704 1274322
bar08_11-chrom01-1 1276336 1279276
bar08_11-chrom01-1 1281393 1283835
bar08_11-chrom01-1 1289552 1290134
bar08_11-chrom01-1 1292948 1293512
bar08_11-chrom01-1 1293517 1294012
bar08_11-chrom01-1 1294281 1294902
bar08_11-chrom01-1 1294991 1295564
bar08_11-chrom01-1 1295672 1296212
bar08_11-chrom01-1 1296218 1297286
bar08_11-chrom01-1 1297382 1298972
bar08_11-chrom01-1 1298985 1301790
bar08_11-chrom01-1 1304361 1307094
bar08_11-chrom01-1 1307399 1308293
bar08_11-chrom01-1 1308567 1309050
bar08_11-chrom01-1 1309051 1309945
bar08_11-chrom01-1 1311199 1311523
bar08_11-chrom01-1 1311532 1311817
bar08_11-chrom01-1 1311863 1312847
bar08_11-chrom01-1 1313308 1314031
bar08_11-chrom01-1 1314317 1314968
bar08_11-chrom01-1 1315075 1315813
bar08_11-chrom01-1 1316108 1317611
bar08_11-chrom01-1 1318360 1318954
bar08_11-chrom01-1 1319056 1319521
bar08_11-chrom01-1 1319601 1319847
bar08_11-chrom01-1 1319952 1320375
bar08_11-chrom01-1 1321248 1321995
bar08_11-chrom01-1 1322035 1323006
bar08_11-chrom01-1 1323008 1324001
bar08_11-chrom01-1 1324019 1324676
bar08_11-chrom01-1 1325606 1326731
bar08_11-chrom01-1 1326898 1327615
bar08_11-chrom01-1 1327935 1328193
bar08_11-chrom01-1 1328195 1330069
bar08_11-chrom01-1 1330080 1330992
bar08_11-chrom01-1 1333039 1333342
bar08_11-chrom01-1 1335833 1336358
bar08_11-chrom01-1 1336425 1336719
bar08_11-chrom01-1 1336719 1337298
bar08_11-chrom01-1 1337555 1337801
bar08_11-chrom01-1 1337853 1338243
bar08_11-chrom01-1 1342662 1343370
bar08_11-chrom01-1 1343484 1344855
bar08_11-chrom01-1 1345242 1348097
bar08_11-chrom01-1 1348099 1348945
bar08_11-chrom01-1 1356992 1358027
bar08_11-chrom01-1 1364101 1365765
bar08_11-chrom01-1 1365788 1367167
bar08_11-chrom01-1 1367168 1369242
bar08_11-chrom01-1 1369670 1371782
bar08_11-chrom01-1 1374895 1377785
bar08_11-chrom01-1 1377806 1378736
bar08_11-chrom01-1 1379861 1381127
bar08_11-chrom01-1 1382725 1383031
bar08_11-chrom01-1 1388505 1389825
bar08_11-chrom01-1 1389915 1390809
bar08_11-chrom01-1 1390811 1391687
bar08_11-chrom01-1 1391694 1392786
bar08_11-chrom01-1 1392788 1393907
bar08_11-chrom01-1 1395424 1396159
bar08_11-chrom01-1 1396199 1397045
bar08_11-chrom01-1 1397058 1398336
bar08_11-chrom01-1 1399320 1399518
bar08_11-chrom01-1 1400558 1400774
bar08_11-chrom01-1 1400783 1401410
bar08_11-chrom01-1 1401443 1401662
bar08_11-chrom01-1 1401773 1402247
